,Board Game Rank,Title,Year,Description,Geek Rating,Avg Rating,Num Voters,Num Players Min,Num Players Max,Best Num Players Min,Best Num Players Max,Playtime Min,Playtime Max,Player Min Age,Language Dependence,Weight,Category,Designer
1321,1322,Welcome Back to the Dungeon,2016,Push your luck crawling through this dungeon. Did you remember the correct monsters?,6.346,6.78,3326,2,4,3,3,30,30,10,Some necessary text - easily memorized or small crib sheet,1.3617021276595744,Party  | Family ,Antoine Bauza
1322,1323,Battle Cry: 150th Civil War Anniversary Edition,2010,Fight the American Civil War with mini figures on big hexes and tiles!,6.346,7.63,1141,2,2,2,2,45,45,12,Some necessary text - easily memorized or small crib sheet,2.0721649484536084,War ,Richard Borg
1323,1324,Exit: The Game – The Forbidden Castle,2017,Start an adventure in the mystic castle with wisdom and patience.,6.345,6.88,2515,1,4,2,2,45,90,12,Extensive use of text - massive conversion needed to be playable,3.2619047619047619,Thematic,Inka Brand
1324,1325,51st State,2010,,6.345,6.83,2846,2,4,2,3,40,90,10,No necessary in-game text,3.1144067796610169,Strategy ,Ignacy Trzewiczek
1325,1326,Dice Settlers,2018,"Settle your people, advance technology and fight for new territories in a new world.",6.344,6.99,2142,1,4,3,3,45,60,14,Some necessary text - easily memorized or small crib sheet,2.9344262295081966,Strategy ,D\u00e1vid Turczi
1326,1327,Indian Summer,2017,"Be the first to fill your board with leaves of all shapes, aided by bonus powers.",6.344,6.81,3076,1,4,3,3,15,60,10,No necessary in-game text,2.1451612903225805,Family ,Uwe Rosenberg
1327,1328,Walking in Burano,2018,Balance the wants of locals and tourists alike by creating the best street in Burano.,6.344,7.22,1662,1,4,3,3,20,40,10,No necessary in-game text,2.0408163265306123,Family ,Wei-Min Ling
1328,1329,Oregon,2007,Build settlements on the frontier and score the best combos!,6.343,6.76,3241,2,4,,,45,45,8,No necessary in-game text,2.1467065868263475,Strategy  | Family ,Henrik Berg
1329,1330,Pictomania,Second Edition,,6.343,7.61,1075,3,6,5,6,20,40,8,Moderate in-game text - needs crib sheet or paste ups,1.3461538461538463,Party ,Vlaada Chv\u00e1til
1330,1331,Android,2008,"Uncover a murder and a conspiracy, while living your own story, in a cyberpunk city.",6.343,6.73,3739,3,5,3,3,180,180,13,Extensive use of text - massive conversion needed to be playable,3.9631336405529956,Thematic,Daniel Clark (I)
1331,1332,A Study in Emerald,Second Edition,,6.343,6.94,2346,2,5,4,5,60,60,13,Moderate in-game text - needs crib sheet or paste ups,2.9406779661016951,Thematic | Strategy ,Martin Wallace
1332,1333,A House Divided: War Between the States 1861-65,1981,,6.342,7.08,1919,2,2,2,2,240,240,12,No necessary in-game text,2.6434426229508197,War ,Frank Chadwick
1333,1334,Fireteam Zero,2015,Co-op strategic WW2 soldiers vs horrors.,6.342,7.53,1315,1,4,3,4,90,90,14,Moderate in-game text - needs crib sheet or paste ups,2.7560975609756095,Strategy ,Mike Langlois
1334,1335,Ticket to Ride: Germany,2017,,6.341,7.64,1120,2,5,4,4,30,60,8,No necessary in-game text,1.7741935483870968,Family ,Alan R. Moon
