,Board Game Rank,Title,Year,Description,Geek Rating,Avg Rating,Num Voters,Num Players Min,Num Players Max,Best Num Players Min,Best Num Players Max,Playtime Min,Playtime Max,Player Min Age,Language Dependence,Weight,Category,Designer
2385,2386,Wings of Glory: WW1 Rules and Accessories Pack,2012,Flying a WWI fighter plane to victory is as easy as planning three maneuvers.,6.013,7.99,508,2,99,4,4,30,30,13,(no votes),2.0416666666666665,War ,Andrea Angiolino
2386,2387,Carnival Zombie,2013,Work together to escape a sinking city while the dead rise around you!,6.012,7.11,771,1,6,3,3,120,120,12,Moderate in-game text - needs crib sheet or paste ups,3.3090909090909091,Thematic,Matteo Santus
2387,2388,Coyote,2003,"What is the total on all the feathers? Easy, except you cant see yours!",6.012,6.61,1372,3,6,6,6,20,30,10,No necessary in-game text,1.209090909090909,Party ,Spartaco Albertarelli
2388,2389,The Blood of an Englishman,2016,"Are you quick enough to steal from the Giant, or will he catch you in the act?",6.012,6.67,1292,2,2,2,2,20,30,10,No necessary in-game text,1.7222222222222223,,Dan Cassar
2389,2390,Harvest,2017,Attempt to be the best farmer in a whimsical fantasy world!,6.012,7.12,775,2,4,,,30,75,14,Moderate in-game text - needs crib sheet or paste ups,2.5384615384615383,Strategy ,Trey Chambers
2390,2391,PUSH,2018,"Push your luck to collect the best stacks, but beware, a die roll can wipe you out.",6.012,6.90,948,2,6,,,20,25,8,No necessary in-game text,1.0476190476190477,,Prospero Hall
2391,2392,Abracada...What?,2014,A great wizardry battle is underway. If only you knew which spells you were casting!,6.012,6.59,1529,2,5,4,4,30,30,7,No necessary in-game text,1.6666666666666667,Family ,Gary Kim
2392,2393,New England,2003,,6.011,6.47,1817,3,4,4,4,90,90,12,No necessary in-game text,2.4656084656084656,Strategy ,Alan R. Moon
2393,2394,Quodd Heroes,2019,Tumble cube-shaped characters through an obstacle course.,6.011,7.40,712,1,6,1,1,30,90,14,Moderate in-game text - needs crib sheet or paste ups,3.1481481481481484,Strategy ,Ryan Iler
2394,2395,Carcassonne: Over Hill and Dale,2015,,6.011,7.34,640,2,5,2,2,35,35,7,No necessary in-game text,2.0869565217391304,Family ,Klaus-J\u00fcrgen Wrede
2395,2396,Exit: The Game – Theft on the Mississippi,2019,Figure out puzzles to solve a robbery on a Mississippi riverboat.,6.011,7.26,664,1,4,2,3,45,90,12,Extensive use of text - massive conversion needed to be playable,2.7777777777777777,,Inka Brand
2396,2397,Choose Your Own Adventure: House of Danger,2018,Choose your path though a strange house and hope it doesn't end in death.,6.010,6.44,2205,1,99,1,1,60,60,10,Extensive use of text - massive conversion needed to be playable,1.0731707317073171,Thematic,Prospero Hall
2397,2398,Fast Flowing Forest Fellers,2008,"Log-riding lumberjack teams race down the river, with much nudging and blocking.",6.010,6.51,1577,2,5,4,5,30,30,8,No necessary in-game text,1.5289855072463767,Family ,Friedemann Friese
2398,2399,Finished!,2017,A no-shuffling game where you strive to carefully sort your deck of cards.,6.010,6.74,1154,1,1,1,1,30,45,10,No necessary in-game text,2.125,Abstract ,Friedemann Friese
2399,2400,Dominant Species: Marine,2021,Dominate your aquatic foes or you’ll be swimming with the fishes.,6.010,8.48,341,2,4,4,4,90,150,14,Moderate in-game text - needs crib sheet or paste ups,3.806451612903226,Strategy ,Chad Jensen
2400,2401,Patchwork Doodle,2019,Build your quilt with Tetris style pieces in this Patchwork roll and write.,6.010,6.68,1290,1,6,,,20,20,8,No necessary in-game text,1.1904761904761905,Family ,Uwe Rosenberg
2401,2402,Ultimate Warriorz,2011,"Shoot, strike, punch, claw and bite and make sure to be the last one standing!",6.010,6.71,1171,2,8,4,5,30,30,8,No necessary in-game text,1.2903225806451613,Party ,Guillaume Blossier
2402,2403,RAF,1986,To the skies! Fend off the Nazis during the Battle of Britain.,6.009,7.37,613,1,1,1,1,180,180,12,Some necessary text - easily memorized or small crib sheet,3.1294117647058823,War ,John H. Butterfield
2403,2404,Tales of the Arabian Nights,1985,An epic thematic game where you choose your own adventure in ancient mythical Arabia!,6.009,7.04,804,1,6,2,3,120,120,12,Extensive use of text - massive conversion needed to be playable,2.4249999999999998,Thematic,Brad Freeman
2404,2405,Turning Point: Stalingrad,1989,WWII's epic urban battle at Stalingrad in a highly playable area-impulse treatment.,6.009,7.25,704,1,2,2,2,120,1800,10,Some necessary text - easily memorized or small crib sheet,3.3177570093457942,War ,Don Greenwood
2405,2406,Unlock!: Secret Adventures – Tombstone Express,2018,,6.009,6.78,1026,1,6,2,3,60,60,10,Unplayable in another language,2.0909090909090908,Thematic,Arch Stanton
2406,2407,Bezzerwizzer,2007,Trivia game where you reorder categories based on your confidence level.,6.009,6.39,2636,2,12,4,4,45,45,14,Unplayable in another language,1.5849056603773586,Party  | Family ,Jesper B\u00fclow
2407,2408,Catacombs of Karak,2017,Heroes explore the mysterious dungeon of Karak Castle.,6.009,7.33,744,2,5,3,4,45,45,7,No necessary in-game text,1.4324324324324325,Children's  | Family ,Roman Hlad\u00edk
2408,2409,Blood Bound,2013,Control information to unite your clan and assassinate the rival leader.,6.008,6.62,1455,6,12,8,8,30,30,14,Some necessary text - easily memorized or small crib sheet,1.671875,Party ,Kalle Krenzer
2409,2410,Duel in the Dark,2007,"As Luftwaffe commander, try to outguess your RAF opponent as the night raid unfolds.",6.008,6.62,1411,1,2,2,2,45,45,10,No necessary in-game text,2.4851485148514851,War  | Strategy ,Friedemann de Pedro
2410,2411,Terror Below,2019,Avoid & defeat gigantic critters while collecting their eggs in this campy game!,6.008,6.86,1063,1,5,4,4,45,60,10,Some necessary text - easily memorized or small crib sheet,1.8148148148148149,,Mike Elliott
2411,2412,5-Minute Mystery,2020,"A real-time, co-op, mystery game.",6.007,7.42,606,1,4,3,3,5,30,8,Some necessary text - easily memorized or small crib sheet,1.1176470588235294,,Connor Reid
2412,2413,The Dwarves,2012,,6.007,6.95,961,2,5,4,4,60,90,10,Extensive use of text - massive conversion needed to be playable,2.5116279069767442,Thematic,Michael Palm
2413,2414,Cataclysm: A Second World War,2018,Take command in 1933 and shape the coming war to ensure victory for your ideology.,6.007,7.65,563,2,5,3,3,90,600,14,Some necessary text - easily memorized or small crib sheet,3.8688524590163933,War ,Scott Muldoon
2414,2415,España 1936,2007,A historical simulation of the whole Spanish Civil War.,6.007,7.26,688,2,2,2,2,180,180,14,Moderate in-game text - needs crib sheet or paste ups,2.810810810810811,War ,Antonio Catal\u00e1n
2415,2416,Vault Wars,2015,The heroes never returned. Try to get the best deal for their left-behind treasures.,6.007,6.85,1021,3,5,4,4,45,60,13,Moderate in-game text - needs crib sheet or paste ups,2.1000000000000001,Thematic | Strategy ,Jonathan Gilmour
2416,2417,Crystal Clans,2018,"Choose your clan, maneuver your forces, and fight for powerful crystals.",6.006,7.05,835,2,2,2,2,30,60,14,Moderate in-game text - needs crib sheet or paste ups,2.5714285714285716,Strategy ,Colby Dauch
2417,2418,Welcome to Dino World,2017,"Create the best dino theme park using routes, facilities, and of course… dinosaurs!",6.006,6.93,897,2,75,4,4,40,70,12,Some necessary text - easily memorized or small crib sheet,2.2916666666666665,,James O'Connor
2418,2419,Cuzco,2018,"Build farms, lakes, and 3D temples in the quest for supremacy high in the Andes!",6.006,7.63,574,2,4,3,3,90,90,12,No necessary in-game text,2.4249999999999998,Strategy ,Michael Kiesling
2419,2420,Conflict of Heroes: Guadalcanal – The Pacific 1942,2016,Award winning Hex and Counter tactical War Game system with Bushido.,6.005,8.19,410,2,4,2,2,60,60,12,Moderate in-game text - needs crib sheet or paste ups,3,War ,Uwe Eickert
2420,2421,StreetSoccer,2002,Control a 5-a-side soccer squad in a street match. Deal with the fate of the dice.,6.005,6.53,1593,2,2,2,2,20,30,8,No necessary in-game text,1.5406698564593302,Family ,Corn\u00e9 van Moorsel
2421,2422,Panzer Leader: Game of Tactical Warfare on the Western Front,1974,"Tactical simulation of armored warfare on the Western Front, 1944-1945.",6.005,6.64,1590,2,2,2,2,90,90,12,Some necessary text - easily memorized or small crib sheet,3.1000000000000001,War ,Dave Clark (I)
2422,2423,Battlefleet Gothic,1999,,6.005,7.02,927,2,4,2,2,180,180,12,Moderate in-game text - needs crib sheet or paste ups,2.9090909090909092,War  | Thematic,Andy Chambers
2423,2424,W1815,2015,"Simple to learn, fiendish to play. Can you win Waterloo in fifteen minutes?",6.005,7.43,584,2,2,2,2,15,20,14,Some necessary text - easily memorized or small crib sheet,1.5283018867924529,War ,Hannu Uusitalo
2424,2425,Medici vs Strozzi,2006,,6.005,6.50,1632,2,2,2,2,30,30,10,No necessary in-game text,2.451776649746193,Strategy ,Reiner Knizia
2425,2426,Quirky Circuits,2019,Don't get your wires crossed as you jointly program kooky robots to complete tasks.,6.004,7.32,597,2,4,3,4,15,30,7,Some necessary text - easily memorized or small crib sheet,1.5,Family ,Nikki Valens
2426,2427,Cable Car,2009,Connect routes in San Francisco with varying interest in each cable car company.,6.004,6.69,1198,2,6,4,4,30,45,8,No necessary in-game text,1.8309859154929577,Family ,Dirk Henn
2427,2428,Rory's Story Cubes,2005,Roll dice and tell a story based on the images rolled.,6.004,6.30,3274,1,12,2,4,20,20,6,No necessary in-game text,1.1310344827586207,Party  | Family ,Rory O'Connor
2428,2429,Santa Cruz,2012,,6.003,6.68,1200,2,4,3,3,45,45,8,No necessary in-game text,2.1744186046511627,Strategy  | Family ,Marcel-Andr\u00e9 Casasola Merkle
2429,2430,Shadows: Amsterdam,2018,"Two detectives team race in solving crime, while trying avoid police attention.",6.003,6.67,1334,2,8,6,6,20,20,10,No necessary in-game text,1.2608695652173914,Party ,Mathieu Aubert
2430,2431,Overbooked,2018,"Pack your plane with passengers, who cares if we throw out the least lucrative ones?",6.003,7.15,753,1,4,3,3,20,40,8,No necessary in-game text,1.9565217391304348,Family ,Daryl Chow
2431,2432,Age of Napoleon,2003,"Conquer Europe using military strategy, diplomacy and historical events.",6.003,6.82,1106,2,2,2,2,60,360,12,Moderate in-game text - needs crib sheet or paste ups,3.1648351648351647,War ,Renaud Verlaque
2432,2433,Ottoman Sunset: The Great War in the Near East,2010,,6.003,7.34,639,1,1,1,1,30,30,13,Extensive use of text - massive conversion needed to be playable,2,War ,Darin A. Leviloff
2433,2434,Warhammer Age of Sigmar: Warcry Starter Set,2019,Fast and furious skirmish combat in a chaotic wasteland.,6.003,8.36,387,2,4,2,2,30,60,12,(no votes),2.3636363636363638,War  | Thematic,
2434,2435,Duel of Ages Set 1: Worldspanner,2003,Combine the powers of a random team of heroes as you fight through labyrinths.,6.003,6.56,1682,2,16,2,2,120,120,12,Extensive use of text - massive conversion needed to be playable,2.8762886597938144,Thematic,Brett G. Murrell
2435,2436,Kohle & Kolonie,2013,Build and manage your empire of coal mines.,6.003,7.48,531,3,5,5,5,150,180,12,No necessary in-game text,3.8392857142857144,Strategy ,Thomas Spitzer
2436,2437,Dice Throne: Season Two – Seraph v. Vampire Lord,2018,,6.003,7.98,437,2,2,2,2,20,40,8,Moderate in-game text - needs crib sheet or paste ups,2.125,,Nate Chatellier
2437,2438,Qwixx Deluxe,2016,,6.003,7.14,721,2,8,4,5,20,20,8,(no votes),1.2142857142857142,,Steffen Benndorf
2438,2439,Asking for Trobils,2015,Exterminate the pests while exploring the galaxy.,6.002,7.03,822,2,7,4,5,60,90,12,Some necessary text - easily memorized or small crib sheet,2.0769230769230771,Family ,Erin McDonald
2439,2440,After the Flood,2008,,6.002,6.87,925,3,3,3,3,180,180,13,Some necessary text - easily memorized or small crib sheet,3.7101449275362319,Strategy ,Martin Wallace
2440,2441,Plums,2015,Compare numbers on fruit in this mathematically themed game!,6.001,6.59,1336,3,5,4,4,30,40,8,No necessary in-game text,1.7837837837837838,Family ,Matthias Cramer
2441,2442,InBetween,2017,"Be a force for darkness or good, either way pull the townsfolk to your side.",6.001,6.75,1095,2,2,2,2,20,40,12,Moderate in-game text - needs crib sheet or paste ups,2.3809523809523809,Thematic,Adam Kwapi\u0144ski
2442,2443,Phantom Leader Deluxe,2013,Plan and tactically execute a successful air campaign in wartorn Vietnam.,6.001,8.05,450,1,1,1,1,30,30,12,Moderate in-game text - needs crib sheet or paste ups,2.6499999999999999,War ,Dan Verssen
2443,2444,Wizard Kings,2000,You are Wizard Kings locked in a desperate struggle to control the world.,6.001,6.71,1185,2,7,2,2,150,150,12,Some necessary text - easily memorized or small crib sheet,2.6513157894736841,War ,Tom Dalgliesh
2444,2445,Go Nuts for Donuts,2017,"Grab those sweet treats, just don't reach for the same as anyone else!",6.001,6.60,1567,2,6,4,5,20,20,8,Moderate in-game text - needs crib sheet or paste ups,1.0909090909090908,Family ,Zachary Eagle
2445,2446,Dancing Eggs,2003,"Silly fun as you run around the table, cock-a-doodle-doo, and hold eggs on your body!",6.001,6.37,2234,2,4,4,4,10,10,5,No necessary in-game text,1.0487804878048781,Children's  | Party ,Roberto Fraga
2446,2447,Joraku,2015,March samurai and claim sections of Japan as you head to Kyoto using trick-taking.,6.001,7.02,782,3,4,4,4,30,60,12,No necessary in-game text,2.1499999999999999,,Iori Tsukinami (\u6708\u4e26\u3044\u304a\u308a)
2447,2448,Medici: The Card Game,2016,,6.000,6.75,1064,2,6,4,4,30,30,10,No necessary in-game text,1.6000000000000001,Family ,Reiner Knizia
2448,2449,Pinochle,1864,,6.000,6.86,962,2,4,4,4,45,45,10,No necessary in-game text,2.3023255813953489,Family ,(Uncredited)
2449,2450,Multiuniversum,2016,Scientists race to close portals from other worlds into the lab!,6.000,6.63,1323,1,5,,,20,40,12,No necessary in-game text,1.9411764705882353,Strategy ,Manuel Correia
2450,2451,Lost Cities: Rivals,2018,Bid coins as you chart expeditions to five ancient ruins.,6.000,6.78,1034,2,4,3,4,40,40,10,No necessary in-game text,1.9565217391304348,Family ,Reiner Knizia
2451,2452,Tank Duel: Enemy in the Crosshairs,2019,Card based tank-to-tank warfare on the Eastern Front in the early-mid 1940s.,6.000,7.76,496,1,8,2,2,60,180,12,Extensive use of text - massive conversion needed to be playable,2.7096774193548385,War ,Mike Bertucelli
2452,2453,Marvel Dice Masters: The Amazing Spider-Man,2015,"Spider-­Man, Ghost Rider, Kingpin, & more face off in dice battles.",5.999,7.39,602,2,2,2,2,60,60,14,Moderate in-game text - needs crib sheet or paste ups,2.1000000000000001,Customizable,Mike Elliott
2453,2454,Guild Ball,2015,Score goals to win or attack the opposing team in a game of fantasy football,5.999,8.00,447,2,2,2,2,60,60,0,Some necessary text - easily memorized or small crib sheet,3.6153846153846154,Customizable,Mat Hart
2454,2455,De Bellis Antiquitatis: Quick Play Wargame Rules with Army Lists for Ancient and Medieval Battles,1990,,5.999,7.28,650,2,6,2,2,60,60,14,No necessary in-game text,2.8333333333333335,War ,Philip C. Barker
2455,2456,MarraCash,1996,Buy up market stands and attract tourists to make the most money.,5.999,6.82,941,3,4,4,4,60,60,12,No necessary in-game text,2.150537634408602,Strategy ,Stefan Dorra
2456,2457,Mus,1745,,5.998,7.93,442,4,4,4,4,10,10,7,No necessary in-game text,2.2692307692307692,Family ,(Uncredited)
2457,2458,Caper,2018,Send the best thieves equipped with gear to procure treasure from each location.,5.998,7.28,648,2,4,2,2,30,45,13,(no votes),2.1052631578947367,,Unai Rubio
2458,2459,Lifeboat,2002,Supplies are tight on the lifeboat. Protect your love and take out your rival.,5.998,6.33,2816,4,6,6,6,60,60,13,Some necessary text - easily memorized or small crib sheet,1.7325581395348837,Party ,Jeff Siadek
2459,2460,Deep Blue,2019,"Scout the sea, hire your crew, race to wreck sites and claim the best treasure.",5.998,6.80,1067,2,5,4,4,45,45,8,No necessary in-game text,1.8529411764705883,Family ,Asger Harding Granerud
2460,2461,Shadowrun Crossfire: Prime Runner Edition,2018,,5.998,7.81,469,1,4,4,4,30,60,13,Extensive use of text - massive conversion needed to be playable,3,,Mike Elliott
2461,2462,Curious Cargo,2020,Build your facilities with interweaving networks of tiles to ship cargo.,5.998,7.45,561,2,2,2,2,30,60,12,No necessary in-game text,3.0625,,Ryan Courtney
2462,2463,First Contact,2018,Aliens have arrived. Who will most effectively learn to communicate?,5.998,7.10,744,2,7,4,6,15,40,12,Moderate in-game text - needs crib sheet or paste ups,2.1363636363636362,Party ,Damir Khusnatdinov
2463,2464,Get Bit!,2007,Out swim your opponents as a hungry shark is chomping bits off the slowest swimmer.,5.998,6.15,6062,3,6,5,6,20,20,7,No necessary in-game text,1.1191335740072201,Family ,Dave Chalker
2464,2465,The Devil's Cauldron: The Battles for Arnhem and Nijmegen,2008,,5.997,8.25,395,2,4,2,2,90,2400,12,Extensive use of text - massive conversion needed to be playable,3.8554216867469879,War ,Adam Starkweather
2465,2466,Mesopotamia,2005,"Gather resources, expand your tribe and deliver tributes to the Ziggurat.",5.997,6.52,1559,2,4,4,4,45,45,10,Some necessary text - easily memorized or small crib sheet,2.4393939393939394,Strategy  | Family ,Klaus-J\u00fcrgen Wrede
2466,2467,Ninja Camp,2016,"Leap skillfully from card to card, gathering the right cards to corner enemy ninjas.",5.997,6.74,1091,2,4,,,15,30,14,Some necessary text - easily memorized or small crib sheet,1.5666666666666667,Family ,Adam E. Daulton
2467,2468,The Road to Canterbury,2011,Tempt pilgrims to sin & then pardon their transgressions on the way to Canterbury.,5.997,6.87,911,2,3,3,3,60,60,10,Some necessary text - easily memorized or small crib sheet,2.25,Thematic | Strategy ,Alf Seegert
2468,2469,Goldland,2002,,5.997,6.65,1246,2,5,4,4,60,60,10,No necessary in-game text,2.3925925925925924,Strategy  | Family ,Wolfgang Kramer
2469,2470,Flames of War: The World War II Miniatures Game,2002,,5.997,7.07,843,2,2,2,2,120,120,14,Some necessary text - easily memorized or small crib sheet,3.2870370370370372,War ,Phil Yates
2470,2471,Beowulf: The Legend,2005,Bid for fame as you assist Beowulf in his legendary exploits.,5.997,6.39,2271,2,5,5,5,60,60,12,Some necessary text - easily memorized or small crib sheet,2.2547169811320753,Strategy ,Reiner Knizia
2471,2472,Marvel Heroes,2006,Villains challenge the Marvel Heroes with New Your City as the backdrop.,5.996,6.37,2426,2,4,4,4,120,120,12,Extensive use of text - massive conversion needed to be playable,3.0672782874617739,Thematic,Roberto Di Meglio
2472,2473,Man O' War,1993,,5.996,7.16,739,2,4,2,2,180,180,12,Extensive use of text - massive conversion needed to be playable,2.661290322580645,War  | Thematic,Andy Jones
2473,2474,Planet Apocalypse,2020,"Despite the Apocalypse, you and your rag-tag bag of stags and hags fight back!",5.996,8.22,419,1,5,3,3,60,90,14,Moderate in-game text - needs crib sheet or paste ups,3.074074074074074,Thematic | Strategy ,Sandy Petersen
2474,2475,Dungeon Command: Blood of Gruumsh,2013,"The orcs are banding together, will their golden age finally come?",5.996,7.54,588,2,2,2,2,90,90,12,Extensive use of text - massive conversion needed to be playable,2.46875,Customizable,Chris Dupuis
2475,2476,Crude: The Oil Game,1974,Play an oil company CEO seeking to expand into a energy mega-corporation.,5.995,6.73,1071,2,4,4,4,90,90,13,Some necessary text - easily memorized or small crib sheet,2.7373737373737375,Strategy ,James J. St. Laurent
2476,2477,The Golden City,2009,,5.995,6.58,1450,3,4,4,4,60,60,10,No necessary in-game text,2.262295081967213,Strategy  | Family ,Michael Schacht
2477,2478,Wok Star,2010,Work together to prepare ingredients and assemble recipes in this real-time game.,5.995,6.68,1134,1,4,4,4,60,60,10,Moderate in-game text - needs crib sheet or paste ups,2.0491803278688523,Family ,Tim Fowers
2478,2479,Topoum,2016,Lead your moles to conquer territory during World War I.,5.995,7.30,635,2,4,,,60,90,14,No necessary in-game text,2.4347826086956523,Abstract  | Strategy ,Perepau Llistosella
2479,2480,Mégawatts,2008,,5.995,7.87,405,2,6,4,5,120,120,14,No necessary in-game text,3.1200000000000001,Strategy ,Friedemann Friese
2480,2481,Skytear,2020,Draft your heroes and rally your minions to destroy the enemy Nexus.,5.995,8.50,555,2,4,2,2,45,45,13,Extensive use of text - massive conversion needed to be playable,3.1428571428571428,Customizable | Strategy ,Giacomo Neri
2481,2482,Kneipenquiz: Das Original,2016,,5.994,7.48,525,3,6,5,5,30,40,12,Extensive use of text - massive conversion needed to be playable,1.3076923076923077,,Heinrich Glumpler
2482,2483,Ascension: Dawn of Champions,2015,Rally heroes to your cause in your role of almighty Champion.,5.994,7.35,636,1,4,2,2,30,30,13,Some necessary text - easily memorized or small crib sheet,2.25,Strategy ,Justin Gary
2483,2484,Aventuria: Adventure Card Game,2016,,5.994,7.53,608,1,4,4,4,45,180,14,Extensive use of text - massive conversion needed to be playable,2.3888888888888888,Customizable | Thematic,Michael Palm
2484,2485,An Infamous Traffic,2016,Create supply chains to conduct the opium trade in 19th century Qing China.,5.994,7.38,564,2,5,4,4,45,90,14,No necessary in-game text,3.48,Strategy ,Cole Wehrle
2485,2486,Thunderstone: Starter Set,2013,,5.994,6.95,866,2,5,2,3,45,45,12,Moderate in-game text - needs crib sheet or paste ups,2.3125,Thematic | Strategy ,Curt Crane
2486,2487,Barbarians: The Invasion,2018,The drums rumble their thundering lure. Are you ready to conquer?,5.994,7.53,624,1,4,3,3,90,90,14,No necessary in-game text,3.2608695652173911,Strategy ,Martino Chiacchiera
2487,2488,Dreadfleet,2011,,5.993,6.96,976,2,10,2,2,60,60,12,Moderate in-game text - needs crib sheet or paste ups,2.9420289855072466,War  | Thematic,Phil Kelly
2488,2489,Malifaux,Second Edition,,5.993,8.11,411,2,2,2,2,90,120,0,Extensive use of text - massive conversion needed to be playable,3.925925925925926,Thematic | Strategy ,Matt Anderson
2489,2490,Tales & Games: The Three Little Pigs,2013,Built strong houses while trying to blow down your opponent’s.,5.993,6.46,1766,2,5,4,4,20,20,7,No necessary in-game text,1.196969696969697,Children's  | Family ,Laurent Pouchain
2490,2491,Kuhhandel Master,2009,,5.993,6.75,1118,2,6,4,5,60,60,10,No necessary in-game text,1.8333333333333333,Family ,R\u00fcdiger Koltze
2491,2492,Tiny Epic Tactics,2019,Control a team of heroes to take control of a landscape made from the box of the game,5.992,6.98,960,1,4,2,2,30,60,14,Moderate in-game text - needs crib sheet or paste ups,2.4285714285714284,Strategy ,Scott Almes
2492,2493,Adventure Games: Monochrome Inc.,2019,"Investigate a mysterious drug company in this cooperative, story-driven adventure.",5.992,6.82,1017,1,4,2,2,75,75,16,Extensive use of text - massive conversion needed to be playable,1.875,Thematic,Matthew Dunstan
2493,2494,Rival Restaurants,2019,Players go head-to-head in this chaotic social strategy game.,5.991,7.98,716,2,6,4,5,45,60,10,Some necessary text - easily memorized or small crib sheet,2.3043478260869565,Family ,Gary Alaka
2494,2495,Ortus Regni,2014,"Build your fiefdom, battle other earls, and reign supreme in this unique card game.",5.991,7.59,513,2,2,3,null,20,50,14,No necessary in-game text,3.2333333333333334,Customizable | Thematic,Jon Sudbury
2495,2496,Sherlock: Last Call,2018,,5.991,6.81,960,1,8,,,40,60,10,Extensive use of text - massive conversion needed to be playable,1.4444444444444444,,Francisco Gallego Arredondo
2496,2497,Topiary,2017,Build together a luxuriant topiary. Keep the best viewpoints for yourself.,5.990,6.74,1048,2,4,2,2,15,30,10,No necessary in-game text,1.7083333333333333,Family ,Danny Devine
2497,2498,Urbion,2012,Play bad and good dreams as you strive for balance in this solitaire card game.,5.990,6.89,889,1,2,1,1,15,15,13,No necessary in-game text,1.8666666666666667,Abstract  | Family ,Shadi Torbey
2498,2499,Space Hulk,Second Edition,,5.990,7.48,580,2,2,2,2,90,90,10,(no votes),2.6363636363636362,Thematic,Dean Bass
2499,2500,The Pillars of the Earth: Builders Duel,2009,,5.990,6.55,1424,2,2,2,2,45,45,10,Moderate in-game text - needs crib sheet or paste ups,2.1683168316831685,Strategy ,Stefan Feld
2500,2501,Shark,1987,,5.989,6.63,1260,2,6,4,4,90,90,12,No necessary in-game text,2.220779220779221,Strategy ,H. Jean Vanaise
2501,2502,Hellapagos,2017,Players survive on a desert island and build a raft to escape before disaster.,5.989,6.63,1427,3,12,7,8,20,20,8,Some necessary text - easily memorized or small crib sheet,1.2702702702702702,Party ,Laurence Gamelin
2502,2503,Lock 'n Load: Band of Heroes,2005,,5.988,7.40,619,2,2,2,2,60,60,12,Moderate in-game text - needs crib sheet or paste ups,3.056451612903226,War ,Mark H. Walker
2503,2504,Black Friday,2010,Stock trading market simulation with a built-in bubble to explode.,5.988,6.58,1362,2,5,4,4,55,55,12,No necessary in-game text,2.8100000000000001,Strategy ,Friedemann Friese
2504,2505,Aliens,1989,Re-write the movie as you lead Ripley and the marines against Aliens.,5.988,7.28,722,1,9,1,1,90,90,10,Some necessary text - easily memorized or small crib sheet,2.2424242424242422,Thematic,David McKenzie
2505,2506,Dungeon Drop,2020,Instant Dungeon...  Infinite Possibilities!,5.988,6.98,913,1,4,2,4,10,20,8,Moderate in-game text - needs crib sheet or paste ups,1.3809523809523809,Family ,Scott R. Smith
2506,2507,Dice Stars,2016,"Roll dice, make your selection and fill out rows and columns to score big.",5.987,6.67,1181,1,4,2,2,15,25,10,No necessary in-game text,1.3333333333333333,Family ,Bruno Cathala
2507,2508,Burano,2015,"Can your family out fish, out lace, and out build rivals on this beautiful island?",5.987,6.79,1010,2,4,3,3,90,120,12,No necessary in-game text,3.7777777777777777,Strategy ,Yu-Chen Tseng
2508,2509,CrossTalk,2017,The party game of subtle conversation.,5.987,6.99,776,4,8,4,4,20,30,10,(no votes),1.2,Party ,Brett Sobol
2509,2510,10 Days in Asia,2007,"Plan a 10 stop trip around Asia by train, plane, and boat.",5.987,6.68,1119,2,4,2,2,25,25,10,No necessary in-game text,1.4285714285714286,Family ,Alan R. Moon
2510,2511,Colors of Paris,2019,Cleverly use actions to mix colors and paint classic masterpieces.,5.987,7.09,749,2,4,3,3,40,60,10,Some necessary text - easily memorized or small crib sheet,2.3043478260869565,,Nicolas De Oliveira
2511,2512,Mystery Rummy: Jekyll & Hyde,2001,,5.987,6.62,1244,2,2,2,2,45,45,10,Some necessary text - easily memorized or small crib sheet,1.5309734513274336,Strategy  | Family ,Mike Fitzgerald
2512,2513,Dungeons & Dragons: Tomb of Annihilation Board Game,2017,Explore the monster-infested Tomb of Annihilation.,5.987,7.72,553,1,5,3,3,60,60,14,Extensive use of text - massive conversion needed to be playable,2.6000000000000001,Thematic,Kevin Wilson
2513,2514,Catch the Moon,2017,Reach for the moon in your dream on a precariously balanced stack of ladders.,5.987,6.76,1081,2,6,3,4,20,20,6,No necessary in-game text,1,Family ,Fabien Riffaud
2514,2515,Formula Motor Racing,1995,Maneuver your team of cards to get to the checkered flag first!,5.987,6.42,1903,3,6,6,6,20,20,8,Some necessary text - easily memorized or small crib sheet,1.180952380952381,Family ,Reiner Knizia
2515,2516,Risk: Star Wars Original Trilogy Edition,2006,,5.986,6.83,1071,2,5,3,3,120,120,10,Some necessary text - easily memorized or small crib sheet,2.1176470588235294,Thematic,Rob Daviau
2516,2517,En Garde,1993,Surprisingly thematic 25-card fencing game.,5.986,6.49,1590,2,2,2,2,20,30,8,No necessary in-game text,1.4065040650406504,Family ,Reiner Knizia
2517,2518,Thief's Market,2016,,5.985,6.51,1600,3,5,4,4,30,50,10,No necessary in-game text,1.8999999999999999,Family ,Dave Chalker
2518,2519,Roll to the Top!,2018,Build famous landmarks by assigning ascending dice values to squares.,5.985,6.87,902,2,5,,,15,25,9,No necessary in-game text,1.0625,,Peter Joustra
2519,2520,King Up!,2004,,5.985,6.37,2100,3,6,5,5,30,30,8,No necessary in-game text,1.2178217821782178,Family ,Stefano Luperto
2520,2521,Hostage Negotiator: Crime Wave,2017,Talk them down and save hostages in a dice and card-driven solo standalone expansion.,5.985,7.54,551,1,1,1,1,20,20,15,Moderate in-game text - needs crib sheet or paste ups,1.9333333333333333,Thematic,A. J. Porfirio
2521,2522,Fight for Olympus,2016,Choose Greek heroes to duel against each other to gain control of mount olympus.,5.985,6.75,1122,2,2,2,2,30,30,12,Moderate in-game text - needs crib sheet or paste ups,2.1111111111111112,Strategy ,Matthias Cramer
